leaid,zip,state,county_fips,lat,lon
0806570,81433,CO,08111,37.781074,-107.670257
0806600,80835,CO,08039,39.310817,-104.117928
0806630,81073,CO,08009,37.303144,-102.535457
0806660,80487,CO,08107,40.48316,-106.985288
0806690,80751,CO,08075,40.728091,-103.090464
0806720,80742,CO,08123,40.555794,-104.383649
0806750,80136,CO,08001,39.874325,-104.331872
0806780,80836,CO,08063,39.30534,-102.603023
0806810,80443,CO,08117,39.621023,-106.137555
0806840,81077,CO,08089,37.88417,-103.72126
0806870,81435,CO,08113,38.009374,-108.427326
0806900,80241,CO,08001,39.874325,-104.331872
0806930,81071,CO,08061,38.388466,-102.75621
0806960,81082,CO,08071,37.318831,-104.04411
0806990,81087,CO,08009,37.303144,-102.535457
0807050,80480,CO,08057,40.663432,-106.329248
0807080,81089,CO,08055,37.687815,-104.959928
0807110,81090,CO,08009,37.303144,-102.535457
0807140,80653,CO,08087,40.262353,-103.807092
0807200,81252,CO,08027,38.101994,-105.373515
0807230,80030,CO,08001,39.874325,-104.331872
0807260,81091,CO,08071,37.318831,-104.04411
0807290,80654,CO,08087,40.262353,-103.807092
0807320,81092,CO,08099,37.958181,-102.392161
0807350,80550,CO,08123,40.555794,-104.383649
0807380,80863,CO,08119,38.871994,-105.182552
0807410,80757,CO,08121,39.965413,-103.209605
0899080,80828,CO,08073,38.99374,-103.507555
0899160,80461,CO,08065,39.204316,-106.349696
0899180,80731,CO,08095,40.594712,-102.345105
0899200,80634,CO,08123,40.555794,-104.383649
0899220,80487,CO,08107,40.48316,-106.985288
0899240,80906,CO,08041,38.827383,-104.527472
0899280,81648,CO,08103,39.972606,-108.200685
0899300,81301,CO,08067,37.287367,-107.839718
0899320,81101,CO,08003,37.568442,-105.788041
0899340,81007,CO,08101,38.170658,-104.489892
0899400,81052,CO,08099,37.958181,-102.392161
1600001,83856,ID,16017,48.312512,-116.59694
1600002,83852,ID,16017,48.312512,-116.59694
1600003,83686,ID,16027,43.623051,-116.708527
1600004,83642,ID,16001,43.447861,-116.244456
1600005,83647,ID,16039,43.394826,-115.470751
1600006,83714,ID,16001,43.447861,-116.244456
1600007,83642,ID,16001,43.447861,-116.244456
1600008,83634,ID,16001,43.447861,-116.244456
1600009,83871,ID,16057,46.81892,-116.730974
1600010,83823,ID,16057,46.81892,-116.730974
1600011,83702,ID,16001,43.447861,-116.244456
1600012,83686,ID,16027,43.623051,-116.708527
1600014,83202,ID,16005,42.692938,-112.228986
1600015,83401,ID,16019,43.395171,-111.621878
1600016,83702,ID,16001,43.447861,-116.244456
1600017,83720,ID,,,
1600030,83210,ID,16011,43.216357,-112.399206
1600060,83211,ID,16077,42.694126,-112.844407
1600090,83212,ID,16077,42.694126,-112.844407
1600138,83549,ID,16049,45.849237,-115.467376
1600139,83530,ID,16049,45.849237,-115.467376
1600140,83301,ID,16083,42.352309,-114.665639
1600141,83605,ID,16027,43.623051,-116.708527
1600142,83406,ID,16019,43.395171,-111.621878
1600143,83330,ID,16047,42.973185,-114.82142
1600144,83709,ID,16001,43.447861,-116.244456
1600145,83221,ID,16011,43.216357,-112.399206
1600148,83702,ID,16001,43.447861,-116.244456
1600149,83854,ID,16055,47.677113,-116.694918
1600150,83808,ID,16079,47.347694,-115.885092
1600151,83843,ID,16057,46.81892,-116.730974
1600152,83676,ID,16027,43.623051,-116.708527
1600153,83221,ID,16011,43.216357,-112.399206
1600154,83406,ID,16019,43.395171,-111.621878
1600155,83651,ID,16027,43.623051,-116.708527
1600156,83707,ID,,,
1600157,83706,ID,16001,43.447861,-116.244456
1600158,83686,ID,16027,43.623051,-116.708527
1600159,83338,ID,16053,42.691171,-114.263009
1600160,83858,ID,16055,47.677113,-116.694918
1600161,83605,ID,16027,43.623051,-116.708527
1600162,83402,ID,16019,43.395171,-111.621878
1600163,83203,ID,16011,43.216357,-112.399206
